model,benchmark,pair_type,records,source_videos,positive_complementarity,joint_worse_than_best_singleton,both_help_but_joint_worse,complementary_rescue,destructive_interference,both_singletons_correct_joint_wrong,mean_joint_penalty_vs_best
qwen3_vl_32b,lvbench,evidence_evidence,1500,103,0.398,0.5726666666666667,0.20933333333333334,0.024666666666666667,0.052,0.007333333333333333,0.2755791968706335
qwen3_vl_32b,lvbench,evidence_outside,1500,103,0.5026666666666667,0.688,0.13266666666666665,0.012666666666666666,0.05,0.006,0.6216671885830233
qwen3_vl_32b,lvbench,outside_outside,1500,103,0.47533333333333333,0.7333333333333333,0.11466666666666667,0.006666666666666667,0.06333333333333334,0.012666666666666666,0.6295357485600545
qwen3_vl_32b,nextgqa,boundary_outside,1500,384,0.478,0.6993333333333334,0.11733333333333333,0.004,0.054,0.012666666666666666,0.751780485134653
qwen3_vl_32b,nextgqa,evidence_boundary,1500,384,0.46066666666666667,0.626,0.16266666666666665,0.006,0.042666666666666665,0.010666666666666666,0.5664438250655079
qwen3_vl_32b,nextgqa,evidence_evidence,1500,384,0.4126666666666667,0.5693333333333334,0.18333333333333332,0.008,0.029333333333333333,0.006,0.28713906962501384
qwen3_vl_32b,nextgqa,evidence_outside,1500,384,0.49133333333333334,0.6646666666666666,0.13133333333333333,0.009333333333333334,0.05333333333333334,0.009333333333333334,0.7147889741173326
qwen3_vl_32b,nextgqa,outside_outside,1500,384,0.5033333333333333,0.7166666666666667,0.11733333333333333,0.011333333333333334,0.04666666666666667,0.016666666666666666,0.6960421724012995
qwen3_vl_4b,herbench,boundary_outside,1500,49,0.5113333333333333,0.7206666666666667,0.10066666666666667,0.004666666666666667,0.050666666666666665,0.005333333333333333,0.6164438517342534
qwen3_vl_4b,herbench,evidence_boundary,1500,49,0.48333333333333334,0.7053333333333334,0.11266666666666666,0.013333333333333334,0.06533333333333333,0.012,0.8045555270420155
qwen3_vl_4b,herbench,evidence_evidence,1500,49,0.5053333333333333,0.6726666666666666,0.10933333333333334,0.017333333333333333,0.08733333333333333,0.021333333333333333,0.8868483010830719
qwen3_vl_4b,herbench,evidence_outside,1500,49,0.4786666666666667,0.7366666666666667,0.108,0.010666666666666666,0.06,0.01,0.8957045485428983
qwen3_vl_4b,herbench,outside_outside,1500,49,0.5133333333333333,0.7286666666666667,0.08533333333333333,0.005333333333333333,0.05466666666666667,0.006666666666666667,0.6221751606907177
qwen3_vl_4b,lvbench,boundary_outside,1500,103,0.49466666666666664,0.7073333333333334,0.11533333333333333,0.012,0.058,0.007333333333333333,0.5878679464125517
