model,benchmark,specification,estimand,records,source_video_clusters,coefficient,cluster_se,ci_low,ci_high,p_two_sided,predictor_scale,raw_gap,main_abs_sum_gap,outside_support_low,outside_support_high,p_bh_within_specification
internvl35_8b,lvbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.09201919046667253,0.018017845323693514,0.05628087969881321,0.12775750123453186,1.5265439366344061e-06,0.5,0.7017817608306989,1.9674108805091886,0.03952218893915415,7.027106202629293,3.4347238574274136e-06
internvl35_8b,lvbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.08845460277388704,0.01973100194058228,0.0493182539793679,0.1275909515684062,1.9310959234254385e-05,0.5,0.7017817608306989,1.9674108805091886,0.03952218893915415,7.027106202629293,6.951945324331579e-05
internvl35_8b,lvbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2785,103,0.08393769046053921,0.017978411288036397,0.048277596915429134,0.1195977840056493,9.252067713969128e-06,0.4992250214085761,0.7017817608306989,1.9674108805091886,0.03952218893915415,7.027106202629293,3.3307443770288865e-05
internvl35_8b,nextgqa,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.38024610066632136,0.044352043515004665,0.29304212432638216,0.46745007700626057,2.5126421451107594e-16,0.5,0.38024610066632103,1.092465804953447,0.06323547303676605,7.632345723181497,4.1115962374539698e-16
internvl35_8b,nextgqa,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.047773710615030274,0.021680704915180638,0.005145603122824298,0.09040181810723624,0.02815321359777359,0.5,0.38024610066632103,1.092465804953447,0.06323547303676605,7.632345723181497,0.046068894978174964
internvl35_8b,nextgqa,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.05997347052027782,0.016297632457850493,0.027929437311963318,0.09201750372859233,0.000266772364219092,0.5,0.38024610066632103,1.092465804953447,0.06323547303676605,7.632345723181497,0.000400158546328638
internvl35_8b,nextgqa,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.05202247755302994,0.01797621277491466,0.016678058011796414,0.08736689709426346,0.004021740705528394,0.5,0.38024610066632103,1.092465804953447,0.06323547303676605,7.632345723181497,0.005170809478536507
internvl35_8b,nextgqa,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2868,384,0.04993768196410403,0.016368357291376413,0.01775459120126323,0.08212077272694483,0.00244071203247905,0.49984241490013426,0.38024610066632103,1.092465804953447,0.06323547303676605,7.632345723181497,0.00292885443897486
perception_lm_8b,herbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.24721230115320453,0.02873545789995039,0.18943579080744774,0.3049888114989613,2.743101885443634e-11,0.5,0.24721230115320458,0.5232602818966648,0.0840432121604681,4.184810182433571,2.904460819881495e-11
perception_lm_8b,herbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.12668862716923596,0.01956660026992703,0.08734734063526783,0.16602991370320408,4.702145005759693e-08,0.5,0.24721230115320458,0.5232602818966648,0.0840432121604681,4.184810182433571,4.231930505183724e-07
perception_lm_8b,herbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.13723991652040674,0.017050196174009106,0.10295819951855167,0.1715216335222618,1.856070896078123e-10,0.5,0.24721230115320458,0.5232602818966648,0.0840432121604681,4.184810182433571,3.3409276129406216e-09
perception_lm_8b,herbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.13617780718185662,0.018026788173010365,0.09993252036565115,0.1724230939980621,1.0454020040010006e-09,0.5,0.24721230115320458,0.5232602818966648,0.0840432121604681,4.184810182433571,1.8817236072018012e-08
perception_lm_8b,herbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2883,49,0.1312372986273113,0.01632897605985381,0.09840569185276299,0.1640689054018596,1.9357108463722134e-10,0.49990226662815573,0.24721230115320458,0.5232602818966648,0.0840432121604681,4.184810182433571,3.484279523469984e-09
