model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,candidate_density
perception_lm_8b,nextgqa,bolt_its8,25,0.68,2.8685521296938896,0.36,0.7470656030382085,32.0,0.2879141139984131,32
perception_lm_8b,nextgqa,dino_change8,25,0.68,2.828627030103944,0.315,0.5573971021455257,32.0,0.2879631042480469,32
perception_lm_8b,nextgqa,dino_diversity8,25,0.68,2.972890051971008,0.28,0.8438349935343998,32.0,0.2879873752593994,32
perception_lm_8b,nextgqa,random8,25,0.68,2.777530176574146,0.265,0.8464146805244033,32.0,0.2878418064117432,32
perception_lm_8b,nextgqa,siglip_dino_submodular8,25,0.72,3.036622061370799,0.29,0.7922251600350824,32.0,0.2879852771759033,32
perception_lm_8b,nextgqa,siglip_relevance8,25,0.72,2.793006841839051,0.345,0.7057788216273643,32.0,0.2883858203887939,32
perception_lm_8b,nextgqa,uniform8,25,0.64,2.6735160142546373,0.25,0.9999573493576804,32.0,0.2880341243743896,32
perception_lm_8b,nextgqa,aks_fixedk8,25,0.72,2.5146185323945245,0.415,0.5281701891487913,128.0,0.313252420425415,128
perception_lm_8b,nextgqa,bolt_its8,25,0.68,2.967880006046962,0.355,0.7278436574794391,128.0,0.2883532333374023,128
perception_lm_8b,nextgqa,dino_change8,25,0.68,3.1616564442084565,0.405,0.4141563620143293,128.0,0.2882753467559814,128
perception_lm_8b,nextgqa,dino_diversity8,25,0.8,3.27184386245066,0.32,0.8698844172778728,128.0,0.2883807945251465,128
perception_lm_8b,nextgqa,random8,25,0.72,2.926483692078691,0.335,0.8179175488090326,128.0,0.2883362293243408,128
perception_lm_8b,nextgqa,siglip_dino_submodular8,25,0.68,3.013411781137311,0.335,0.7605990285443341,128.0,0.288375997543335,128
perception_lm_8b,nextgqa,siglip_relevance8,25,0.72,2.5146185323945245,0.415,0.5281701891487913,128.0,0.2882495880126953,128
perception_lm_8b,nextgqa,uniform8,25,0.68,2.764743616047399,0.26,0.9999573493576804,128.0,0.2883141994476318,128
qwen3_vl_32b,herbench,aks_fixedk8,25,0.28,-1.0284656570422568,0.045,0.7896730713961737,32.0,0.31397536277771,32
qwen3_vl_32b,herbench,bolt_its8,25,0.48,-0.2974727015223902,0.06,0.7496731919548061,32.0,0.29029541015625,32
qwen3_vl_32b,herbench,dino_change8,25,0.4,-0.723051867976219,0.025,0.7677376165330646,32.0,0.2902294635772705,32
qwen3_vl_32b,herbench,dino_diversity8,25,0.36,-0.9283403153543576,0.025,0.8812854333007486,32.0,0.2899997234344482,32
qwen3_vl_32b,herbench,random8,25,0.44,-0.4989575485235207,0.03,0.8012856223729156,32.0,0.2899673843383789,32
qwen3_vl_32b,herbench,siglip_dino_submodular8,25,0.28,-1.3562610675812812,0.03,0.841285678877203,32.0,0.2904130172729492,32
qwen3_vl_32b,herbench,siglip_relevance8,25,0.28,-1.0284656570422568,0.045,0.7896730713961737,32.0,0.2905342960357666,32
