model,benchmark,pair_type,cells,mean_interaction,mean_absolute_interaction,score_scale
perception_lm_8b,nextgqa,evidence_boundary,1500,-0.1491894175619036,0.5800615444294225,logodds
perception_lm_8b,nextgqa,evidence_evidence,1500,-0.3983596432445435,0.7958352280729074,logodds
perception_lm_8b,nextgqa,evidence_outside,1500,-0.0398873336407985,0.447615959816461,logodds
perception_lm_8b,nextgqa,outside_outside,1500,-0.0200735834068787,0.3476677294207388,logodds
perception_lm_8b,nextgqa,boundary_outside,1500,-0.00178420646532,0.0353946773532051,probability
perception_lm_8b,nextgqa,evidence_boundary,1500,-0.0082571054692541,0.0508975170523615,probability
perception_lm_8b,nextgqa,evidence_evidence,1500,-0.0249280205634016,0.0635189566750397,probability
perception_lm_8b,nextgqa,evidence_outside,1500,0.0019848759416474,0.0389845013051876,probability
perception_lm_8b,nextgqa,outside_outside,1500,-0.0019110963633792,0.0302378356127244,probability
qwen3_vl_32b,herbench,boundary_outside,1500,0.0153333333333333,0.054,accuracy
qwen3_vl_32b,herbench,evidence_boundary,1500,-0.0053333333333333,0.068,accuracy
qwen3_vl_32b,herbench,evidence_evidence,1500,-0.0133333333333333,0.0773333333333333,accuracy
qwen3_vl_32b,herbench,evidence_outside,1500,-0.0066666666666666,0.0626666666666666,accuracy
qwen3_vl_32b,herbench,outside_outside,1500,-0.002,0.0526666666666666,accuracy
qwen3_vl_32b,herbench,boundary_outside,1500,0.0336857292916977,0.4956392896517644,logodds
qwen3_vl_32b,herbench,evidence_boundary,1500,-0.1194455047238055,0.7167834602554889,logodds
qwen3_vl_32b,herbench,evidence_evidence,1500,-0.0838520893020175,1.0181406722888442,logodds
qwen3_vl_32b,herbench,evidence_outside,1500,-0.0607578385893384,0.6428382564302271,logodds
qwen3_vl_32b,herbench,outside_outside,1500,-0.0187234934882502,0.4324815941486033,logodds
qwen3_vl_32b,herbench,boundary_outside,1500,0.0066272238952127,0.0339587254503213,probability
qwen3_vl_32b,herbench,evidence_boundary,1500,-0.006522559567453,0.0486610370043477,probability
qwen3_vl_32b,herbench,evidence_evidence,1500,-0.0081139554810826,0.0638662824437716,probability
