model,benchmark,budget,contrast,metric,source_video_clusters,estimate,ci_low,ci_high,p_two_sided,bootstrap_draws
perception_lm_8b,herbench,3,pairwise_minus_singleton,gold_probability_regret_reduction,48,0.017478154547486347,0.0047685217738571576,0.032856212187956486,0.0044995500449955,10000
perception_lm_8b,herbench,3,pairwise_minus_singleton,accuracy_gain,48,0.0298776455026455,-0.009300595238095238,0.08184627149470897,0.23477652234776522,10000
perception_lm_8b,herbench,3,exhaustive_minus_singleton,optimal_set_recovery_gain,48,0.44337384259259255,0.3825558035714286,0.5072309027777778,9.999000099990002e-05,10000
perception_lm_8b,herbench,3,exhaustive_minus_singleton,logodds_regret_reduction,48,0.3029374659534369,0.23770052320743865,0.37799055752802146,9.999000099990002e-05,10000
perception_lm_8b,herbench,3,exhaustive_minus_singleton,gold_probability_regret_reduction,48,0.033059616755108115,0.023116604758287085,0.04726603106840886,9.999000099990002e-05,10000
perception_lm_8b,herbench,3,exhaustive_minus_singleton,accuracy_gain,48,0.053067129629629624,0.01845775462962963,0.1027199074074074,0.0010998900109989002,10000
perception_lm_8b,herbench,3,exhaustive_minus_pairwise,optimal_set_recovery_gain,48,0.33612764550264557,0.2641267774470899,0.41156436011904757,9.999000099990002e-05,10000
perception_lm_8b,herbench,3,exhaustive_minus_pairwise,logodds_regret_reduction,48,0.1155664311574525,0.08394795061851809,0.15123120357440778,9.999000099990002e-05,10000
perception_lm_8b,herbench,3,exhaustive_minus_pairwise,gold_probability_regret_reduction,48,0.01558146220762177,0.009716296619995003,0.022611386133018902,9.999000099990002e-05,10000
perception_lm_8b,herbench,3,exhaustive_minus_pairwise,accuracy_gain,48,0.023189484126984128,0.006696428571428571,0.0431547619047619,0.0321967803219678,10000
perception_lm_8b,lvbench,2,pairwise_minus_singleton,optimal_set_recovery_gain,91,0.47280219780219773,0.41465201465201457,0.5309546703296704,9.999000099990002e-05,10000
perception_lm_8b,lvbench,2,pairwise_minus_singleton,logodds_regret_reduction,91,0.1703407250346021,0.12863274545769654,0.22054852659416518,9.999000099990002e-05,10000
perception_lm_8b,lvbench,2,pairwise_minus_singleton,gold_probability_regret_reduction,91,0.017732020856748097,0.011240396223085692,0.02585988398467319,9.999000099990002e-05,10000
perception_lm_8b,lvbench,2,pairwise_minus_singleton,accuracy_gain,91,0.02326007326007326,0.006593406593406593,0.04542582417582411,0.0150984901509849,10000
perception_lm_8b,lvbench,2,exhaustive_minus_singleton,optimal_set_recovery_gain,91,0.47280219780219773,0.41373397435897435,0.5304945054945055,9.999000099990002e-05,10000
perception_lm_8b,lvbench,2,exhaustive_minus_singleton,logodds_regret_reduction,91,0.1703407250346021,0.12816999958480382,0.2201465415351794,9.999000099990002e-05,10000
perception_lm_8b,lvbench,2,exhaustive_minus_singleton,gold_probability_regret_reduction,91,0.017732020856748097,0.011279930690699729,0.02573537015360196,9.999000099990002e-05,10000
perception_lm_8b,lvbench,2,exhaustive_minus_singleton,accuracy_gain,91,0.02326007326007326,0.006593406593406593,0.04523809523809524,0.015298470152984701,10000
perception_lm_8b,lvbench,2,exhaustive_minus_pairwise,optimal_set_recovery_gain,91,0.0,0.0,0.0,1.0,10000
perception_lm_8b,lvbench,2,exhaustive_minus_pairwise,logodds_regret_reduction,91,0.0,0.0,0.0,1.0,10000
perception_lm_8b,lvbench,2,exhaustive_minus_pairwise,gold_probability_regret_reduction,91,0.0,0.0,0.0,1.0,10000
