model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
internvl35_8b,lvbench,siglip_dino_submodular8,500,0.386,-0.655508009276412,0.027,0.8221267414295176,64.0,0.108872528553009
internvl35_8b,lvbench,siglip_relevance8,500,0.372,-0.6709677176665418,0.031,0.7569521578258899,64.0,0.1088540539741516
internvl35_8b,lvbench,uniform8,500,0.32,-1.0221408648908046,0.0295,0.99999970532052,64.0,0.1089060091972351
internvl35_8b,herbench,aks_fixedk8,500,0.458,-0.6785975186439464,0.0235,0.7203464129326439,64.0,0.1134266743659973
internvl35_8b,herbench,bolt_its8,500,0.484,-0.610301831034245,0.02925,0.7418065549010474,64.0,0.1121645302772521
internvl35_8b,herbench,dino_change8,500,0.458,-0.6893547221910848,0.0395,0.7110765321142989,64.0,0.1122007012367248
internvl35_8b,herbench,dino_diversity8,500,0.488,-0.6838175513338065,0.029,0.8679330637782589,64.0,0.112182541847229
internvl35_8b,herbench,random8,500,0.484,-0.6722777746921347,0.02775,0.8023142160582445,64.0,0.1122099776268005
internvl35_8b,herbench,siglip_dino_submodular8,500,0.442,-0.7381621174756438,0.02325,0.7919651885698539,64.0,0.1122079472541809
internvl35_8b,herbench,siglip_relevance8,500,0.458,-0.6785975186439464,0.0235,0.7203464129326439,64.0,0.1123175854682922
internvl35_8b,herbench,uniform8,500,0.47,-0.7547085552290081,0.02275,0.9999959481990204,64.0,0.1121210803985595
internvl35_38b,herbench,aks_fixedk8,500,0.516,-0.6045112220121082,0.0235,0.7203464129326439,64.0,0.5882694416046143
internvl35_38b,herbench,bolt_its8,500,0.51,-0.5532435655118898,0.02925,0.7418065549010474,64.0,0.587848334312439
internvl35_38b,herbench,dino_change8,500,0.476,-0.6726624938277528,0.0395,0.7110765321142989,64.0,0.5876230993270875
internvl35_38b,herbench,dino_diversity8,500,0.516,-0.6454388464717195,0.029,0.8679330637782589,64.0,0.5874597306251526
internvl35_38b,herbench,random8,500,0.498,-0.5612783973067998,0.02775,0.8023142160582445,64.0,0.5874812259674073
internvl35_38b,herbench,siglip_dino_submodular8,500,0.498,-0.6010971388760954,0.02325,0.7919651885698539,64.0,0.5876233973503113
internvl35_38b,herbench,siglip_relevance8,500,0.516,-0.6045112220121082,0.0235,0.7203464129326439,64.0,0.5872222719192505
internvl35_38b,herbench,uniform8,500,0.478,-0.6481319285100325,0.02275,0.9999959481990204,64.0,0.5877588229179382
videollama3_7b,lvbench,aks_fixedk8,500,0.334,-1.2915201062709094,0.031,0.7569521578258899,64.0,1.48416344499588
videollama3_7b,lvbench,bolt_its8,500,0.326,-1.2772440525218844,0.02175,0.7509839051969571,64.0,1.4833059878349304
videollama3_7b,lvbench,dino_change8,500,0.278,-1.3505678893886506,0.02975,0.749841043126204,64.0,1.4834335646629333
videollama3_7b,lvbench,dino_diversity8,500,0.29,-1.3417491928637029,0.038,0.8742537107775693,64.0,1.4832889337539672
videollama3_7b,lvbench,random8,500,0.318,-1.3120387874878945,0.029,0.798920398609448,64.0,1.483223721981049
videollama3_7b,lvbench,siglip_dino_submodular8,500,0.312,-1.293478575590998,0.027,0.8221267414295176,64.0,1.4830824675559997
videollama3_7b,lvbench,siglip_relevance8,500,0.334,-1.2915201062709094,0.031,0.7569521578258899,64.0,1.481501428604126
videollama3_7b,lvbench,uniform8,500,0.286,-1.34379159225896,0.0295,0.99999970532052,64.0,1.4810727095603944
internvl35_38b,nextgqa,aks_fixedk8,495,0.8161616161616162,3.57590126154056,0.2974747474747474,0.6071947254030428,64.0,0.5752409597839973
internvl35_38b,nextgqa,bolt_its8,495,0.8161616161616162,3.673030675330327,0.278030303030303,0.7333081499444606,64.0,0.5744980325602522
internvl35_38b,nextgqa,dino_change8,495,0.806060606060606,3.3389821240443185,0.2558080808080808,0.5467181695927527,64.0,0.5746984973098292
internvl35_38b,nextgqa,dino_diversity8,495,0.8080808080808081,3.414613485286346,0.2358585858585858,0.8364946210308777,64.0,0.574683609394112
internvl35_38b,nextgqa,random8,495,0.8121212121212121,3.554310958630148,0.2434343434343434,0.7967979017534946,64.0,0.5746922088391853
internvl35_38b,nextgqa,siglip_dino_submodular8,495,0.8303030303030303,3.602462676828224,0.2679292929292929,0.7946494456769818,64.0,0.5749530565859091
internvl35_38b,nextgqa,siglip_relevance8,495,0.8161616161616162,3.57590126154056,0.2974747474747474,0.6071947254030428,64.0,0.5749975618689951
internvl35_38b,nextgqa,uniform8,495,0.8242424242424242,3.5709187843343564,0.2123737373737373,0.9999652556383334,64.0,0.5749120500352648
qwen3_vl_4b,herbench,aks_fixedk8,500,0.482,-1.1924646741938658,0.0235,0.7203464129326439,64.0,0.0853977055549621
qwen3_vl_4b,herbench,bolt_its8,500,0.5,-0.77357207035077,0.02925,0.7418065549010474,64.0,0.0839964022636413
qwen3_vl_4b,herbench,dino_change8,500,0.478,-1.1274752560228425,0.0395,0.7110765321142989,64.0,0.0841980447769165
qwen3_vl_4b,herbench,dino_diversity8,500,0.488,-0.9460099342380368,0.029,0.8679330637782589,64.0,0.0843278136253356
qwen3_vl_4b,herbench,random8,500,0.476,-0.8774855790376646,0.02775,0.8023142160582445,64.0,0.0842085447311401
qwen3_vl_4b,herbench,siglip_dino_submodular8,500,0.496,-0.9156201582757408,0.02325,0.7919651885698539,64.0,0.0842199277877807
qwen3_vl_4b,herbench,siglip_relevance8,500,0.482,-1.1924646741938658,0.0235,0.7203464129326439,64.0,0.0843936038017273
qwen3_vl_4b,herbench,uniform8,500,0.484,-1.1377538790144646,0.02275,0.9999959481990204,64.0,0.0844397106170654
perception_lm_8b,nextgqa,aks_fixedk8,495,0.7414141414141414,3.208014797522364,0.2974747474747474,0.6071947254030428,64.0,0.2939390201761265
perception_lm_8b,nextgqa,bolt_its8,495,0.7454545454545455,3.446973850443626,0.278030303030303,0.7333081499444606,64.0,0.2928398941502426
perception_lm_8b,nextgqa,dino_change8,495,0.7393939393939394,3.236862797400025,0.2558080808080808,0.5467181695927527,64.0,0.2927925422938183
perception_lm_8b,nextgqa,dino_diversity8,495,0.7656565656565657,3.2474158800430986,0.2358585858585858,0.8364946210308777,64.0,0.2928104959353052
perception_lm_8b,nextgqa,random8,495,0.7474747474747475,3.2874021810823533,0.2434343434343434,0.7967979017534946,64.0,0.2928159718561654
perception_lm_8b,nextgqa,siglip_dino_submodular8,495,0.7676767676767676,3.427458946622358,0.2679292929292929,0.7946494456769818,64.0,0.2927869753404097
perception_lm_8b,nextgqa,siglip_relevance8,495,0.7414141414141414,3.208014797522364,0.2974747474747474,0.6071947254030428,64.0,0.2927696126880068
perception_lm_8b,nextgqa,uniform8,495,0.7494949494949495,3.285837920593409,0.2123737373737373,0.9999652556383334,64.0,0.2928799797790219
perception_lm_8b,herbench,aks_fixedk8,500,0.32,-1.749908164914901,0.0235,0.7203464129326439,64.0,0.3046185665130615
perception_lm_8b,herbench,bolt_its8,500,0.338,-1.5744130244003027,0.02925,0.7418065549010474,64.0,0.303385160446167
perception_lm_8b,herbench,dino_change8,500,0.322,-1.6102513209461466,0.0395,0.7110765321142989,64.0,0.3033510956764221
perception_lm_8b,herbench,dino_diversity8,500,0.348,-1.417497712744051,0.029,0.8679330637782589,64.0,0.3033752851486206
perception_lm_8b,herbench,random8,500,0.356,-1.4893619687252797,0.02775,0.8023142160582445,64.0,0.3035185861587524
perception_lm_8b,herbench,siglip_dino_submodular8,500,0.326,-1.5626720659700222,0.02325,0.7919651885698539,64.0,0.3033956336975097
perception_lm_8b,herbench,siglip_relevance8,500,0.32,-1.749908164914901,0.0235,0.7203464129326439,64.0,0.3034291701316833
perception_lm_8b,herbench,uniform8,500,0.32,-1.552799576695892,0.02275,0.9999959481990204,64.0,0.303384868144989
videollama3_7b,nextgqa,aks_fixedk8,495,0.6121212121212121,-0.1409808920489417,0.2974747474747474,0.6071947254030428,64.0,0.8786016016295461
videollama3_7b,nextgqa,bolt_its8,495,0.6282828282828283,-0.0751122680342182,0.278030303030303,0.7333081499444606,64.0,0.877400106853909
videollama3_7b,nextgqa,dino_change8,495,0.5959595959595959,-0.1678327742559515,0.2558080808080808,0.5467181695927527,64.0,0.8775261320248999
videollama3_7b,nextgqa,dino_diversity8,495,0.6242424242424243,-0.1395362769121849,0.2358585858585858,0.8364946210308777,64.0,0.8776198546091716
videollama3_7b,nextgqa,random8,495,0.6323232323232323,-0.0933072531078424,0.2434343434343434,0.7967979017534946,64.0,0.8774080136809687
videollama3_7b,nextgqa,siglip_dino_submodular8,495,0.6222222222222222,-0.1210564809014098,0.2679292929292929,0.7946494456769818,64.0,0.8775529577274516
videollama3_7b,nextgqa,siglip_relevance8,495,0.6121212121212121,-0.1409808920489417,0.2974747474747474,0.6071947254030428,64.0,0.8773904044218738
videollama3_7b,nextgqa,uniform8,495,0.6323232323232323,-0.1007725139204977,0.2123737373737373,0.9999652556383334,64.0,0.8776287546061506
perception_lm_8b,lvbench,aks_fixedk8,500,0.398,-0.7456694516077369,0.031,0.7569521578258899,64.0,0.2929294738769531
perception_lm_8b,lvbench,bolt_its8,500,0.396,-0.8297377303684843,0.02175,0.7509839051969571,64.0,0.2917261710166931
perception_lm_8b,lvbench,dino_change8,500,0.372,-1.043878542536799,0.02975,0.749841043126204,64.0,0.2917740187644958
perception_lm_8b,lvbench,dino_diversity8,500,0.33,-1.236261258168024,0.038,0.8742537107775693,64.0,0.2917555427551269
perception_lm_8b,lvbench,random8,500,0.358,-0.9841954832443544,0.029,0.798920398609448,64.0,0.2917514843940735
perception_lm_8b,lvbench,siglip_dino_submodular8,500,0.41,-0.7554485410264415,0.027,0.8221267414295176,64.0,0.2917185401916504
perception_lm_8b,lvbench,siglip_relevance8,500,0.398,-0.7456694516077369,0.031,0.7569521578258899,64.0,0.2917357006072998
perception_lm_8b,lvbench,uniform8,500,0.372,-1.1272323578983905,0.0295,0.99999970532052,64.0,0.2917332434654235
