model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,logodds_rank,accuracy_rank
internvl35_8b,lvbench,uniform8,1549,0.3460296965784377,-0.8691002945241976,0.1793899289864428,0.999999703573411,64.0,0.1091770105318841,8.0,8.0
internvl35_8b,nextgqa,aks_fixedk8,5482,0.7544691718350967,2.611989772039582,0.2862094126231302,0.5976181917183356,64.0,0.1101631867715974,6.0,7.0
internvl35_8b,nextgqa,bolt_its8,5482,0.777818314483765,2.775796657827841,0.2759485589201021,0.733573084288007,64.0,0.1100821744260541,1.0,1.0
internvl35_8b,nextgqa,dino_change8,5482,0.7548340021889821,2.458796446473651,0.2651860634804815,0.5362762664939361,64.0,0.1100874880029093,8.0,6.0
internvl35_8b,nextgqa,dino_diversity8,5482,0.7738051805910252,2.6771516047736394,0.2499771981028821,0.8420422612502233,64.0,0.1101296405990556,5.0,4.0
internvl35_8b,nextgqa,random8,5482,0.7643195913900036,2.691776526480285,0.2606712878511492,0.8039653691676504,64.0,0.1101041105879958,4.0,5.0
internvl35_8b,nextgqa,siglip_dino_submodular8,5482,0.776541408245166,2.726538571381645,0.2666453848960233,0.798319388464003,64.0,0.1100978051515792,3.0,3.0
internvl35_8b,nextgqa,siglip_relevance8,5482,0.7544691718350967,2.611989772039582,0.2862094126231302,0.5976181917183356,64.0,0.1101328699052094,6.0,7.0
internvl35_8b,nextgqa,uniform8,5482,0.7767238234221088,2.753760927804753,0.2286574242977015,0.9999650866261828,64.0,0.1101546485856344,2.0,2.0
internvl35_8b,videomme,aks_fixedk8,2700,0.5766666666666667,1.1521300276989523,,0.6920951917962167,64.0,0.1095644217067294,3.0,3.0
internvl35_8b,videomme,bolt_its8,2700,0.5825925925925926,1.1619999254642557,,0.739460753321632,64.0,0.1092974520612646,2.0,2.0
internvl35_8b,videomme,dino_change8,2700,0.5585185185185185,0.8627413301802592,,0.7169096361707167,64.0,0.1093299396832784,8.0,8.0
internvl35_8b,videomme,dino_diversity8,2700,0.562962962962963,0.9104353399587148,,0.8727991443858245,64.0,0.1093417346919024,7.0,6.0
internvl35_8b,videomme,random8,2700,0.5688888888888889,1.0618717210938993,,0.8000776091105167,64.0,0.1093727844732779,5.0,5.0
internvl35_8b,videomme,siglip_dino_submodular8,2700,0.5888888888888889,1.1891061025168077,,0.8154509198349512,64.0,0.1093505739282678,1.0,1.0
internvl35_8b,videomme,siglip_relevance8,2700,0.5766666666666667,1.1521300276989523,,0.6920951917962167,64.0,0.1093693658157631,3.0,3.0
internvl35_8b,videomme,uniform8,2700,0.5607407407407408,0.979044037130323,,0.9999941350954964,64.0,0.1093432055579291,6.0,7.0
perception_lm_8b,herbench,aks_fixedk8,1971,0.3759512937595129,-1.1863083464986957,0.0227168949771689,0.7203208688075747,64.0,0.3076100382086348,7.0,5.0
perception_lm_8b,herbench,bolt_its8,1971,0.3779807204464738,-1.157137910916785,0.0213470319634703,0.7481124532755875,64.0,0.3073403615143503,4.0,4.0
perception_lm_8b,herbench,dino_change8,1971,0.358701166920345,-1.180418722652319,0.030593607305936,0.6253735984154533,64.0,0.3072652465979016,6.0,8.0
perception_lm_8b,herbench,dino_diversity8,1971,0.3911719939117199,-1.064727611739694,0.0207762557077625,0.8717134172657633,64.0,0.3072636079086621,1.0,1.0
perception_lm_8b,herbench,random8,1971,0.3855910705225773,-1.133206153556426,0.0244292237442922,0.8014409623047865,64.0,0.3072236457613747,3.0,2.0
perception_lm_8b,herbench,siglip_dino_submodular8,1971,0.3830542871638762,-1.1225902680459627,0.0248858447488584,0.7915517058917059,64.0,0.3072879914400361,2.0,3.0
perception_lm_8b,herbench,siglip_relevance8,1971,0.3759512937595129,-1.1863083464986957,0.0227168949771689,0.7203208688075747,64.0,0.3072796766676919,7.0,5.0
perception_lm_8b,herbench,uniform8,1971,0.3673262303399289,-1.1732500838980666,0.0184931506849315,0.9999932425710246,64.0,0.307270140892234,5.0,7.0
perception_lm_8b,lvbench,aks_fixedk8,1549,0.4092963202065849,-0.6407723318199217,0.1942382182052937,0.7595271714807882,64.0,0.2925081362333353,1.0,2.0
perception_lm_8b,lvbench,bolt_its8,1549,0.4034861200774693,-0.7942281635705178,0.1843124596513879,0.751165403565621,64.0,0.2921342472632982,4.0,4.0
perception_lm_8b,lvbench,dino_change8,1549,0.3834732085216268,-1.0213813599745485,0.1968205293737895,0.759455434921056,64.0,0.2921732307788708,7.0,5.0
perception_lm_8b,lvbench,dino_diversity8,1549,0.3731439638476436,-1.063530694699597,0.1993221433182698,0.8764689424826209,64.0,0.2921328304505025,8.0,7.0
perception_lm_8b,lvbench,random8,1549,0.3731439638476436,-0.9962832019304289,0.190848934796643,0.8037031232524444,64.0,0.29211588749353,5.0,7.0
perception_lm_8b,lvbench,siglip_dino_submodular8,1549,0.4157520981278244,-0.6701911995219124,0.1917366042608134,0.8216870708586227,64.0,0.2921293586819614,3.0,1.0
perception_lm_8b,lvbench,siglip_relevance8,1549,0.4092963202065849,-0.6407723318199217,0.1942382182052937,0.7595271714807882,64.0,0.2921929105471764,1.0,2.0
perception_lm_8b,lvbench,uniform8,1549,0.3834732085216268,-1.0093426227389484,0.1793899289864428,0.999999703573411,64.0,0.2921988152934321,6.0,5.0
perception_lm_8b,nextgqa,aks_fixedk8,5482,0.7590295512586647,3.3225863633406907,0.2862094126231302,0.5976181917183356,64.0,0.2925958873059183,6.0,6.0
perception_lm_8b,nextgqa,bolt_its8,5482,0.7750820868296242,3.62502134783133,0.2759485589201021,0.733573084288007,64.0,0.2924862525968472,1.0,2.0
perception_lm_8b,nextgqa,dino_change8,5482,0.7511856986501277,3.21157573206305,0.2651860634804815,0.5362762664939361,64.0,0.2924477353403926,8.0,8.0
perception_lm_8b,nextgqa,dino_diversity8,5482,0.7728931047063116,3.551950669118852,0.2499771981028821,0.8420422612502233,64.0,0.2924414964889532,4.0,3.0
perception_lm_8b,nextgqa,random8,5482,0.7655964976286027,3.504955024890586,0.2606712878511492,0.8039653691676504,64.0,0.2924454849334321,5.0,5.0
perception_lm_8b,nextgqa,siglip_dino_submodular8,5482,0.7783655600145932,3.581072069436614,0.2666453848960233,0.798319388464003,64.0,0.2924435754972233,3.0,1.0
perception_lm_8b,nextgqa,siglip_relevance8,5482,0.7590295512586647,3.3225863633406907,0.2862094126231302,0.5976181917183356,64.0,0.2924864150798482,6.0,6.0
perception_lm_8b,nextgqa,uniform8,5482,0.7712513681138271,3.5947431976013062,0.2286574242977015,0.9999650866261828,64.0,0.2925605737828112,2.0,4.0
perception_lm_8b,videomme,aks_fixedk8,2700,0.5366666666666666,0.6098288899011062,,0.6920951917962167,64.0,0.29344417280621,3.0,3.0
perception_lm_8b,videomme,bolt_its8,2700,0.5433333333333333,0.7308226868394051,,0.739460753321632,64.0,0.2932247575124105,1.0,2.0
perception_lm_8b,videomme,dino_change8,2700,0.5237037037037037,0.4290476093468016,,0.7169096361707167,64.0,0.2932157508532206,8.0,8.0
perception_lm_8b,videomme,dino_diversity8,2700,0.5266666666666666,0.4308935903498728,,0.8727991443858245,64.0,0.2931940497292413,7.0,6.0
perception_lm_8b,videomme,random8,2700,0.5322222222222223,0.5656411054777455,,0.8000776091105167,64.0,0.2931227550683198,5.0,5.0
perception_lm_8b,videomme,siglip_dino_submodular8,2700,0.5485185185185185,0.6737863111407132,,0.8154509198349512,64.0,0.2931677705270272,2.0,1.0
perception_lm_8b,videomme,siglip_relevance8,2700,0.5366666666666666,0.6098288899011062,,0.6920951917962167,64.0,0.2931671369517291,3.0,3.0
perception_lm_8b,videomme,uniform8,2700,0.5262962962962963,0.49327523074087,,0.9999941350954964,64.0,0.2931343803582368,6.0,7.0
qwen3_vl_32b,herbench,aks_fixedk8,1971,0.4885844748858447,-0.0703010999033618,0.0227168949771689,0.7203208688075747,64.0,0.289514983262827,6.0,6.0
qwen3_vl_32b,herbench,bolt_its8,1971,0.504312531709792,0.1099848264703551,0.0213470319634703,0.7481124532755875,64.0,0.2890185342108399,1.0,1.0
qwen3_vl_32b,herbench,dino_change8,1971,0.4753932014205986,-0.2252913345575959,0.030593607305936,0.6253735984154533,64.0,0.2889829856499024,8.0,8.0
qwen3_vl_32b,herbench,dino_diversity8,1971,0.4982242516489091,0.0540268856416055,0.0207762557077625,0.8717134172657633,64.0,0.28904682122651,2.0,3.0
qwen3_vl_32b,herbench,random8,1971,0.4997463216641298,-0.0655761597573867,0.0244292237442922,0.8014409623047865,64.0,0.2890149047083203,5.0,2.0
qwen3_vl_32b,herbench,siglip_dino_submodular8,1971,0.4967021816336884,-0.0065470035730425,0.0248858447488584,0.7915517058917059,64.0,0.2890232564954211,3.0,4.0
qwen3_vl_32b,herbench,siglip_relevance8,1971,0.4885844748858447,-0.0703010999033618,0.0227168949771689,0.7203208688075747,64.0,0.2889815749764019,6.0,6.0
qwen3_vl_32b,herbench,uniform8,1971,0.4895991882293252,-0.0441533024262368,0.0184931506849315,0.9999932425710246,64.0,0.2889954688160749,4.0,5.0
qwen3_vl_32b,lvbench,aks_fixedk8,1549,0.4215622982569399,-0.2451364016913687,0.1942382182052937,0.7595271714807882,64.0,0.2676142864338116,1.0,1.0
qwen3_vl_32b,lvbench,bolt_its8,1549,0.4060684312459651,-0.7039071321822924,0.1843124596513879,0.751165403565621,64.0,0.2676587201765539,4.0,4.0
qwen3_vl_32b,lvbench,dino_change8,1549,0.3712072304712718,-0.999480394401761,0.1968205293737895,0.759455434921056,64.0,0.267796999874078,7.0,8.0
qwen3_vl_32b,lvbench,dino_diversity8,1549,0.3847643641058748,-1.0278251826081632,0.1993221433182698,0.8764689424826209,64.0,0.2676634294437238,8.0,5.0
qwen3_vl_32b,lvbench,random8,1549,0.3776630083925113,-0.959873344292363,0.190848934796643,0.8037031232524444,64.0,0.2678151814071035,5.0,7.0
qwen3_vl_32b,lvbench,siglip_dino_submodular8,1549,0.4170432537120723,-0.3153569869410922,0.1917366042608134,0.8216870708586227,64.0,0.2677537480656604,3.0,3.0
qwen3_vl_32b,lvbench,siglip_relevance8,1549,0.4215622982569399,-0.2451364016913687,0.1942382182052937,0.7595271714807882,64.0,0.267736391377803,1.0,1.0
qwen3_vl_32b,lvbench,uniform8,1549,0.3783085861846352,-0.9879216070501952,0.1793899289864428,0.999999703573411,64.0,0.2677196114197171,6.0,6.0
qwen3_vl_32b,nextgqa,aks_fixedk8,5482,0.7803721269609631,6.18543738014014,0.2862094126231302,0.5976181917183356,64.0,0.2784618746403663,6.0,6.0
qwen3_vl_32b,nextgqa,bolt_its8,5482,0.8026267785479752,6.7239376207856285,0.2759485589201021,0.733573084288007,64.0,0.2786751002649545,1.0,4.0
qwen3_vl_32b,nextgqa,dino_change8,5482,0.7770886537759941,5.824560836254781,0.2651860634804815,0.5362762664939361,64.0,0.2787191692558965,8.0,8.0
qwen3_vl_32b,nextgqa,dino_diversity8,5482,0.8080992338562568,6.6136642039680975,0.2499771981028821,0.8420422612502233,64.0,0.2786946227540938,4.0,1.0
qwen3_vl_32b,nextgqa,random8,5482,0.799525720539949,6.43887128098518,0.2606712878511492,0.8039653691676504,64.0,0.2786263983774167,5.0,5.0
qwen3_vl_32b,nextgqa,siglip_dino_submodular8,5482,0.8071871579715433,6.7082012238068085,0.2666453848960233,0.798319388464003,64.0,0.2786876358980682,2.0,3.0
qwen3_vl_32b,nextgqa,siglip_relevance8,5482,0.7803721269609631,6.18543738014014,0.2862094126231302,0.5976181917183356,64.0,0.2786556887217831,6.0,6.0
qwen3_vl_32b,nextgqa,uniform8,5482,0.8077344035023714,6.623995644190717,0.2286574242977015,0.9999650866261828,64.0,0.2787244128554635,3.0,2.0
qwen3_vl_32b,videomme,aks_fixedk8,2700,0.6122222222222222,3.5602182676118703,,0.6920951917962167,64.0,0.2662579841966982,3.0,3.0
qwen3_vl_32b,videomme,bolt_its8,2700,0.6192592592592593,3.855198783580065,,0.739460753321632,64.0,0.26641260932993,2.0,2.0
qwen3_vl_32b,videomme,dino_change8,2700,0.5944444444444444,3.103557348193404,,0.7169096361707167,64.0,0.2664420459005567,8.0,8.0
qwen3_vl_32b,videomme,dino_diversity8,2700,0.6,3.257343278288465,,0.8727991443858245,64.0,0.2664965801768832,7.0,7.0
qwen3_vl_32b,videomme,random8,2700,0.6077777777777778,3.427338280746353,,0.8000776091105167,64.0,0.2664559357254593,5.0,5.0
qwen3_vl_32b,videomme,siglip_dino_submodular8,2700,0.63,3.9308937861803095,,0.8154509198349512,64.0,0.2664915491033483,1.0,1.0
qwen3_vl_32b,videomme,siglip_relevance8,2700,0.6122222222222222,3.5602182676118703,,0.6920951917962167,64.0,0.2665311868102462,3.0,3.0
qwen3_vl_32b,videomme,uniform8,2700,0.6037037037037037,3.381144689355189,,0.9999941350954964,64.0,0.2666014771991306,6.0,6.0
qwen3_vl_4b,herbench,aks_fixedk8,1971,0.4708269913749365,-0.6675072907082489,0.0227168949771689,0.7203208688075747,64.0,0.0841854102474853,7.0,6.0
