model,benchmark,metric,new_selector,comparator,items,source_video_clusters,equal_video_estimate,ci_low,ci_high,p_two_sided,p_bh_within_metric
videollama3_7b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,-0.009968186221739048,-0.05592933893309939,0.037586448265784896,0.6718328167183282,0.8056053898742356
internvl35_38b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.16076129210967874,-0.028434363481164536,0.3579575579703327,0.1151884811518848,0.19065679638932656
internvl35_38b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.20165019755908678,0.06156207380285819,0.3515905420394578,0.006999300069993001,0.030542400305424003
internvl35_38b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.05176914341389441,-0.14250615969518457,0.25047620052234615,0.6051394860513949,0.7447870597555629
internvl35_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,-0.023262759473798703,-0.216830880063352,0.17321062063429726,0.8236176382361764,0.8984919689849197
internvl35_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.2183048183535988,0.05590149590775948,0.38656469125100035,0.012798720127987202,0.04188672041886721
internvl35_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.04242013369255976,-0.14613210080481695,0.22771233435337673,0.6612338766123388,0.8056053898742356
perception_lm_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.48337737781230955,0.24573794690746606,0.721013582477099,0.00039996000399960006,0.0047995200479952005
perception_lm_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.2380581715214028,0.0410078959061718,0.4402812076765588,0.0221977802219778,0.06031095003707176
perception_lm_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.20527613092034358,-0.005799348629163156,0.4165354467346739,0.06619338066193381,0.13238676132386762
qwen3_vl_32b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.34734139920406787,-0.009958093188825503,0.7254542442208133,0.0704929507049295,0.13717547164202495
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.5472323662020669,0.15327207583278918,0.9499371779629381,0.0066993300669933005,0.030542400305424003
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.5526707081111104,0.2011654303821086,0.9164220482155561,0.0034996500349965005,0.0221977802219778
qwen3_vl_4b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.5767915237861702,0.15528989722039402,1.0069438844480514,0.0124987501249875,0.04188672041886721
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.4862737075696372,0.1638155785529131,0.8263531466724495,0.0053994600539946005,0.027768651706257946
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.6744149450632457,0.3004740403083189,1.0610233016866504,0.0004999500049995,0.005537907747686769
videollama3_7b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.013165727814188751,-0.0305893701047462,0.055888598324169134,0.5662433756624338,0.7029228111671592
videollama3_7b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.06818768641447724,-0.009286426912926015,0.1468480267858247,0.0866913308669133,0.1562510415625104
